Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,Total_Spend,Mahalanobis_Distance,Is_Outlier,Total_Spending,Spending_Tier,Dominant_Category,Diversity_Index,Diversity_Level,Fresh_Pct,Milk_Pct,Grocery_Pct,Frozen_Pct,Detergents_Paper_Pct,Delicassen_Pct,Fresh_to_Total,Grocery_to_Total,Retail_Products_Ratio,Fresh_Products_Ratio,Fresh_Log,Milk_Log,Grocery_Log,Frozen_Log,Detergents_Paper_Log,Delicassen_Log,Cluster
2,3,12669,9656,7561,214,2674,1338,34112,1.171227410035388,False,34112,Medium,Fresh,1.417489177662943,Diversified,37.13942307692308,28.30675422138837,22.165220450281424,0.6273452157598499,7.838883677298311,3.9223733583489686,0.3713942307692308,0.2216522045028142,0.3000410412757974,0.3776676829268293,9.446992273315184,9.175438319966918,8.930890984450878,5.3706380281276624,7.891704659330107,7.199678345691172,0
2,3,7057,9810,9568,1762,3293,1776,33266,0.9176830927183168,False,33266,Medium,Milk,1.5884339362822837,Diversified,21.213851981001625,29.48956892923706,28.762099440870557,5.296699332651957,9.898995971863163,5.338784344375639,0.2121385198100162,0.2876209944087056,0.3866109541273372,0.2651055131365358,8.861917004235215,9.19125948416339,9.166283985779264,7.47477218239787,8.099857910737585,7.482681828154651,0
2,3,6353,8808,7684,2405,3516,7844,36610,2.876123774229255,False,36610,High,Milk,1.7083210544751115,Diversified,17.353182190658288,24.059000273149415,20.98880087407812,6.5692433761267415,9.603933351543294,21.42583993444414,0.1735318219065829,0.2098880087407812,0.3059273422562141,0.2392242556678503,8.756839814829462,9.083529205109796,8.947025655972697,7.785720896534624,8.165363632473982,8.967631665167133,0
1,3,13265,1196,4221,6404,507,1788,27381,1.0462267546579571,False,27381,Medium,Fresh,1.367966180565107,Diversified,48.446002702604,4.367992403491472,15.415799276870825,23.388481063511193,1.8516489536539935,6.530075599868522,0.4844600270260399,0.1541579927687082,0.1726744823052481,0.7183448376611519,9.4929596500855,7.087573705557973,8.348064228408266,8.764834214330834,6.230481447578482,7.489412083508719,1
2,3,22615,5410,7198,3915,1777,5185,46100,1.6510615992446482,False,46100,High,Fresh,1.4714524657401755,Diversified,49.05639913232104,11.7353579175705,15.613882863340564,8.49240780911063,3.854663774403471,11.247288503253795,0.4905639913232104,0.1561388286334056,0.1946854663774403,0.5754880694143167,10.026412899373426,8.596189197642735,8.881697406469304,8.272826003650401,7.48324441607385,8.55371796609861,0
2,3,9413,8259,5126,666,1795,1451,26710,1.1172436807818171,False,26710,Medium,Fresh,1.479005261398663,Diversified,35.24148259078997,30.921003369524524,19.19131411456383,2.4934481467615126,6.720329464619993,5.432422313740172,0.3524148259078997,0.1919131411456383,0.2591164357918382,0.3773493073755148,9.149953221961088,9.019179866515024,8.5422759717837,6.502790045915623,7.493317248862145,7.280697195384741,0
2,3,12126,3199,6975,480,3140,545,26465,0.7348456441928952,False,26465,Medium,Fresh,1.3700577233522973,Diversified,45.81900623464954,12.087662951067449,26.35556395238995,1.813716228981674,11.864726997921784,2.059323634989609,0.4581900623464954,0.2635556395238995,0.3822029095031173,0.4763272246363121,9.403189650656792,8.070906088787819,8.850230965588816,6.175867270105761,8.052296499538647,6.302618975744905,0
2,3,7579,4956,9426,1669,3321,2566,29517,0.8244454414730431,False,29517,Medium,Grocery,1.6338077039264276,Diversified,25.676728664837217,16.79032421994105,31.934139648338245,5.654368668902666,11.251143408883015,8.693295389097807,0.2567672866483721,0.3193413964833824,0.4318528305722126,0.3133109733373987,8.933268478636418,8.508555998020574,9.15133319139615,7.4205789054108,8.10832229017324,7.8504931808711405,0
1,3,5963,3648,6192,425,1716,750,18694,0.7748254161426553,False,18694,Low,Grocery,1.4836017204510132,Diversified,31.89793516636354,19.514282657537176,33.12292714239863,2.273456724082594,9.17941585535466,4.0119824542634,0.3189793516636354,0.3312292714239863,0.4230234299775329,0.3417139189044613,8.69349667588463,8.202208436436448,8.731174900938061,6.054439346269371,7.448333860897476,6.621405651764134,2
2,3,6006,11093,18881,1159,7425,2098,46662,1.3392632710358008,False,46662,High,Grocery,1.4952485813808023,Diversified,12.871287128712872,23.773091594873776,40.46333204749046,2.483819810552484,15.912305516265912,4.496163902104496,0.1287128712871287,0.4046333204749046,0.5637563756375638,0.1535510693926535,8.700680734850161,9.31415970061518,9.845964366292462,7.05617528410041,8.912742634737025,7.649216319820633,0
2,3,3366,5403,12974,4400,5977,1744,33864,1.3066999261644618,False,33864,Medium,Grocery,1.6139210500000227,Diversified,9.939759036144578,15.954996456413893,38.312071816678475,12.993149066855658,17.650011811953696,5.150011811953696,0.0993975903614457,0.3831207181667848,0.5596208362863218,0.2293290810300023,8.121777419161074,8.59489469908009,9.470779708034089,8.38958706681109,8.695841342843883,7.464509834636528,0
2,3,13146,1124,4523,1420,549,497,21259,0.8935750355337598,False,21259,Medium,Fresh,1.1449187051883063,Moderate,61.83733947974975,5.287172491650595,21.27569499976481,6.679523966320147,2.582435674302648,2.3378333882120512,0.6183733947974975,0.212756949997648,0.2385813067406745,0.685168634460699,9.483948874696605,7.025538314638521,8.41715183723601,7.259116128097101,6.309918278226516,6.210600077024653,1
2,3,31714,12319,11757,287,3881,2931,62889,2.1919121217265563,False,62889,High,Fresh,1.3174513899788731,Diversified,50.42853281177948,19.58848129243588,18.694843295329868,0.4563596177391912,6.1711905102641165,4.660592472451462,0.5042853281177948,0.1869484329532986,0.2486603380559398,0.5088489242951868,10.364545034067998,9.41897923708751,9.3722891389622,5.662960480135946,8.264105763728956,7.983440063006542,0
2,3,21217,6208,14982,3095,6707,602,52811,1.4580408089959238,False,52811,High,Fresh,1.4547770154439208,Diversified,40.175342258241656,11.755126772831415,28.369089772963967,5.860521482266952,12.700005680634716,1.139914033061294,0.4017534225824165,0.2836908977296397,0.4106909545359868,0.460358637405086,9.962605157019215,8.733755131364893,9.614671504043145,8.037866234709618,8.8110561229431,6.401917196727186,0
2,3,24653,9465,12091,294,5058,2168,53729,1.5169984311978408,False,53729,High,Fresh,1.379459399699204,Diversified,45.88397327327886,17.616184928064918,22.50367585475255,0.5471905302536806,9.413910551099033,4.03506486255095,0.4588397327327886,0.2250367585475255,0.3191758640585159,0.4643116380353254,10.112694438111465,9.155461710466192,9.40029935589935,5.68697535633982,8.528924114291936,7.682021510826875,0
1,3,10253,1114,3821,397,964,412,16961,0.8102834257082352,False,16961,Low,Fresh,1.1600536566633486,Moderate,60.45044513884794,6.568008961735747,22.528152821177997,2.3406638759507103,5.683627144625906,2.4291020576616944,0.6045044513884794,0.2252815282117799,0.282117799658039,0.6279110901479865,9.235423152343646,7.016609683894219,8.248529124800218,5.986452005284438,6.872128101338986,6.023447592961033,1
2,3,1020,8816,12121,134,4508,1080,27679,1.174320037011631,False,27679,Medium,Grocery,1.2955949481041595,Diversified,3.6851042306441704,31.850861664077463,43.79132194082156,0.4841215361826655,16.286715560533256,3.901875067740886,0.0368510423064417,0.4379132194082156,0.6007803750135482,0.0416922576682683,6.928537818164665,9.084436955087028,9.402777262511233,4.90527477843843,8.413830678421084,6.985641817639208,2
1,3,5876,6157,2933,839,370,4478,20653,1.7842600985493844,False,20653,Medium,Milk,1.5292546125416484,Diversified,28.45107248341645,29.811649639277583,14.201326683774754,4.062363821236624,1.7915072870769382,21.682080085217645,0.2845107248341645,0.1420132668377475,0.1599283397085169,0.3251343630465307,8.678801706612651,8.725507328484445,7.984121958702927,6.733401891837359,5.916202062607435,8.4071550862073,0
2,3,18601,6327,10099,2205,2767,3181,43180,1.0664658338756037,False,43180,High,Fresh,1.5041225674810388,Diversified,43.07781380268643,14.652616952292728,23.38814265863826,5.106530801296897,6.408059286706809,7.366836498378879,0.4307781380268642,0.2338814265863825,0.2979620194534507,0.4818434460398332,9.831024380802411,8.75273950944749,9.22029070282935,7.698936199813447,7.92588031673756,8.065265208897733,0
1,3,7780,2495,9464,669,2518,501,23427,1.1854332968245218,False,23427,Medium,Grocery,1.394267707053668,Diversified,33.209544542621764,10.650104580185255,40.397831561873055,2.855679344346267,10.748281896956504,2.1385580740171597,0.3320954454262176,0.4039783156187305,0.5114611345882956,0.3606522388696803,8.95944014361693,7.822444729489319,9.155356063643422,6.507277712385012,7.831617276352611,6.218600119691729,0
2,3,17546,4519,4602,1066,2259,2124,32116,1.1431805337803778,False,32116,Medium,Fresh,1.3639811107292208,Diversified,54.633204633204635,14.07086810312617,14.329306264790135,3.3192178353468673,7.033877195167518,6.613525968364678,0.5463320463320464,0.1432930626479013,0.2136318345995765,0.579524224685515,9.772638274111136,8.416267272826277,8.434463543817241,6.9726062513017535,7.723120092266331,7.661527081358517,0
1,3,5567,871,2010,3383,375,569,12775,0.893804503464228,False,12775,Low,Fresh,1.4300645174503934,Diversified,43.57729941291585,6.818003913894325,15.73385518590998,26.481409001956948,2.935420743639922,4.454011741682975,0.4357729941291585,0.1573385518590998,0.186692759295499,0.700587084148728,8.624791202014256,6.77078942390898,7.606387389772652,8.126813720726114,5.929589143389895,6.345636360828596,1
1,3,31276,1917,4469,9408,2381,4334,53785,2.531604609816681,False,53785,High,Fresh,1.2867165540292027,Diversified,58.15004183322488,3.564190759505438,8.30900808775681,17.491865761829505,4.426884819187506,8.058008738495863,0.5815004183322487,0.0830900808775681,0.1273589290694431,0.7564190759505438,10.3506382821314,7.559038255443384,8.405143687607614,9.149421957006766,7.775695749915245,8.374476889214643,0
2,3,26373,36423,22019,5154,4337,16523,110829,6.548573885292886,True,110829,High,Milk,1.5816623048620029,Diversified,23.79611834447663,32.864142056681914,19.86754369343764,4.650407384348862,3.913235705456153,14.908552815598805,0.2379611834447662,0.1986754369343764,0.2378077939889379,0.2844652572882549,10.180133955367644,10.502983177014618,9.999706410276673,8.54772239645106,8.37516869138682,9.712569148516655,0
2,3,22647,9776,13792,2915,4482,5778,59390,1.8657037949592952,False,59390,High,Fresh,1.5733291317422868,Diversified,38.13268226974238,16.4606836167705,23.22276477521468,4.908233709378684,7.546725037885166,9.728910591008589,0.3813268226974238,0.2322276477521468,0.3076948981309985,0.4304091597912106,10.027826826791737,9.18778796750567,9.53191649607552,7.977968093128549,8.40804774415544,8.661985936317778,0
2,3,16165,4230,7595,201,4003,57,32251,1.104798991666616,False,32251,Medium,Fresh,1.2549945443056736,Diversified,50.12247682242411,13.115872376050357,23.549657374965115,0.6232364887910452,12.412018231992809,0.176738705776565,0.5012247682242411,0.2354965737496511,0.3596167560695792,0.5074571331121516,9.69066555029379,8.350193650720067,8.935377071932177,5.308267697401205,8.295049140435111,4.060443010546419,2
1,3,9898,961,2861,3151,242,833,17946,0.7080584087943155,False,17946,Low,Fresh,1.283690386514807,Diversified,55.154351944723054,5.354953750139306,15.9422712582191,17.55823024629444,1.3484899141870057,4.6417028864370895,0.5515435194472306,0.159422712582191,0.172907611724061,0.7271258219101749,9.200189020919808,6.8690144506657065,7.959275960116396,8.05579245097777,5.493061443340548,6.726233402358747,1
1,3,14276,803,3045,485,100,518,19227,0.9934856965085284,False,19227,Low,Fresh,0.8630935497752539,Moderate,74.2497529515785,4.176418578041296,15.837104072398189,2.5224944089041452,0.5201019399802361,2.694128049097623,0.7424975295157851,0.1583710407239819,0.1635720601237842,0.7677224736048266,9.56640512978922,6.6895992691789665,8.021584533455107,6.186208623900494,4.61512051684126,6.251903883165888,1
2,3,4113,20484,25957,1158,8604,5206,65522,2.8786140050922175,False,65522,High,Grocery,1.443232667172149,Diversified,6.277280913281036,31.26278196636244,39.61570159641037,1.7673453191294528,13.131467293428162,7.945422911388541,0.0627728091328103,0.3961570159641037,0.5274716888983852,0.0804462623241048,8.322151070212902,9.927448189980971,10.164235126247704,7.055312843339752,9.06009870864564,8.557759153162898,0
1,3,43088,2100,2609,1200,1107,823,50927,2.968939815931202,False,50927,High,Fresh,0.6633307584046098,Moderate,84.60737918982072,4.123549394230959,5.123019223594557,2.3563139395605477,2.173699609244605,1.6160386435486087,0.8460737918982072,0.0512301922359455,0.0729671883283916,0.8696369312938127,10.671023023099933,7.650168700845001,7.867105500316739,7.0909098220799835,7.010311867307229,6.714170529909472,1
1,3,18815,3610,11107,1148,2134,2963,39777,1.799927298281163,False,39777,High,Fresh,1.380825537765619,Diversified,47.30120421349021,9.07559645020992,27.92317168212786,2.8860899514794984,5.36490936973628,7.449028332956232,0.473012042134902,0.2792317168212786,0.3328808105186414,0.5018729416496971,9.842462850698354,8.191740021277457,9.31542084842669,7.046647277848756,7.666221925662725,7.994294986415977,0
